State,District,Confirmed_Cases,Recovery_Rate
"AP","East Godavari",124301,99.40
"AR","Papum Pare",6779,99.53
"BR","Katihar",7225,99.79
"CH","Chandigarh",21060,97.51
"CT","Dakshin Bastar Dantewada",6089,99.43
"DL","Delhi",635793,98.10
"GJ","Jamnagar",10510,99.14
"HP","Solan",6736,98.49
"HR","Mahendragarh",6614,99.61
"JH","Bokaro",6698,98.73
"JK","Jammu",25005,98.33
"KA","Yadgir",10666,99.32
"KL","Malappuram",107723,96.38
"LA","Leh",7634,98.00
"MH","Gadchiroli",8868,98.08
"ML","East Khasi Hills",8573,98.02
"MP","Gwalior",16442,98.20
"NL","Dimapur",6474,97.50
"OR","Koraput",7881,99.76
"PB","Pathankot",5855,97.06
"PY","Puducherry",31096,97.71
"RJ","Alwar",21792,99.47
"TN","Viluppuram",15199,99.08
"TR","West Tripura",11641,98.17
"UP","Gautam Buddha Nagar",25388,99.46
"UT","Pauri Garhwal",5155,97.83
"WB","Cooch Behar",11821,98.88
